method,type,n,range,ns,residual,u_orthogonality,vt_orthogonality,orthogonality,time_seconds,info,repetitions,backend_path
DBDSVR,1,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 3.0369469999999999E-003,0,1,1
DBDSVR,2,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 2.6384573000000001E-002,0,1,1
DBDSVR,3,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.9988283999999999E-002,0,1,1
DBDSVR,4,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 9.6139859999999997E-003,0,1,1
DBDSVR,5,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 2.0479994000000001E-002,0,1,1
DBDSVR,6,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 2.4260027000000000E-002,0,1,1
DBDSVR,7,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 3.0605640000000000E-002,0,1,1
DBDSVR,8,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 3.0832049000000000E-002,0,1,1
DBDSVR,9,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 3.2437634000000000E-002,0,1,1
DBDSVR,10,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.1112609000000001E-002,0,1,1
DBDSVR,11,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.0061320000000001E-003,0,1,1
DBDSVR,12,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.2806149999999999E-003,0,1,1
DBDSVR,13,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.0989084000000000E-002,0,1,1
DBDSVR,14,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.1646112000000000E-002,0,1,1
DBDSVR,15,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.1320472000000000E-002,0,1,1
DBDSVR,16,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.1176235000000000E-002,0,1,1
DBDSVR,17,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 2.1312456000000000E-002,0,1,1
DBDSVR,18,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.8830920000000001E-003,0,1,1
DBDSVR,19,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 2.0727269999999999E-003,0,1,1
DBDSVR,20,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 5.1694820000000002E-002,0,1,1
DBDSVR,21,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 7.6701030000000002E-003,0,1,1
DBDSVR,22,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 8.0285819999999994E-003,0,1,3
DBDSVR,23,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.6704226999999999E-002,0,1,3
DBDSVR,24,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 9.5238200000000005E-003,0,1,1
DBDSVR,25,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.6973830000000000E-003,0,1,1
DBDSVR,26,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.6275669999999999E-003,0,1,1
DBDSVR,27,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.6531149999999999E-003,0,1,1
DBDSVR,28,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.6699910000000000E-003,0,1,1
DBDSVR,29,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 4.9780921999999998E-002,0,1,1
