method,type,n,range,ns,residual,u_orthogonality,vt_orthogonality,orthogonality,time_seconds,info,repetitions,backend_path
DBDSVR,1,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.2070058999999999E-002,0,1,1
DBDSVR,2,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.0712967299999999E-001,0,1,1
DBDSVR,3,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 7.9818505999999997E-002,0,1,1
DBDSVR,4,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 4.1923335999999999E-002,0,1,1
DBDSVR,5,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 8.3351438999999999E-002,0,1,1
DBDSVR,6,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 8.2818696999999997E-002,0,1,1
DBDSVR,7,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.2058070799999999E-001,0,1,1
DBDSVR,8,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.1989745000000000E-001,0,1,1
DBDSVR,9,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.2684283399999999E-001,0,1,1
DBDSVR,10,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 5.2848243000000003E-002,0,1,1
DBDSVR,11,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 5.9157150000000002E-003,0,1,1
DBDSVR,12,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 7.8426020000000006E-003,0,1,1
DBDSVR,13,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 4.9971177999999998E-002,0,1,1
DBDSVR,14,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 5.2628002000000000E-002,0,1,1
DBDSVR,15,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 5.3798661999999997E-002,0,1,1
DBDSVR,16,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 5.2834062000000001E-002,0,1,1
DBDSVR,17,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 8.3921574999999998E-002,0,1,1
DBDSVR,18,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 8.2106560000000002E-003,0,1,1
DBDSVR,19,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 8.2441370000000003E-003,0,1,1
DBDSVR,20,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 2.3106680399999999E-001,0,1,1
DBDSVR,21,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 3.2770774000000003E-002,0,1,1
DBDSVR,22,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 3.4872424999999999E-002,0,1,3
DBDSVR,23,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 7.2916417999999997E-002,0,1,3
DBDSVR,24,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 3.9291179000000002E-002,0,1,1
DBDSVR,25,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 7.7035530000000001E-003,0,1,1
DBDSVR,26,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 7.6868680000000003E-003,0,1,1
DBDSVR,27,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 7.9129089999999992E-003,0,1,1
DBDSVR,28,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 8.4497659999999992E-003,0,1,1
DBDSVR,29,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 2.1698563100000001E-001,0,1,1
