point,n,type,variety,dbdsdc_seconds,dbdsvr_seconds,speedup_dbdsdc_over_dbdsvr,winner,dbdsdc_repetitions,dbdsvr_repetitions,dbdsvr_backend_path
57,1000,28,243 GRO3,0.07778196025,0.00816493084375,9.52634648578067,DBDSVR,8,64,1
58,1000,29,244 bidiagonal Wilkinson+,0.012742170484375002,0.21680204325000002,0.05877329518376207,DBDSDC,64,4,1
59,2000,1,110 ones spectrum,0.023569985937500003,0.054483645812499995,0.4326066214183564,DBDSDC,16,16,1
60,2000,2,"111 uniform, ε apart",0.240371554,0.4442997345,0.5410121486354388,DBDSDC,2,2,1
61,2000,3,"112 uniform, ε¹ᐟ⁴ apart",5.081695976,0.310497008,16.3663283222362,DBDSVR,1,2,1
62,2000,4,113 uniform ε → 1,5.006503363,0.17783961999999998,28.151788465359974,DBDSVR,1,4,1
63,2000,5,"114 uniform ε → 1, signed",1.738527111,0.395428941,4.396560116726509,DBDSVR,1,2,1
64,2000,6,115 geometric ε → 1,0.28622149399999997,0.12945295175,2.2110078613947093,DBDSVR,2,4,1
65,2000,7,"116 geometric ε → 1, signed",0.09863425275,0.503741766,0.19580320594262576,DBDSDC,8,1,1
66,2000,8,117 random spectrum,0.12269741325,0.52144728,0.23530166510792808,DBDSDC,4,1,1
67,2000,9,118 clustered at 1,0.096839338625,0.517009975,0.1873065188442447,DBDSDC,8,1,1
68,2000,10,119 clustered at ±1,0.052906035125,0.240409166,0.22006663059178033,DBDSDC,8,4,1
69,2000,11,120 clustered at ε,0.0042327045,0.027916406,0.15162068140146692,DBDSDC,64,32,1
70,2000,12,121 clustered at ±ε,0.01499643146875,0.04347124006250001,0.34497362962706246,DBDSDC,32,16,1
71,2000,13,200 ABCON0,6.572311982,0.22306506175,29.463654820878737,DBDSVR,1,4,1
72,2000,14,201 ABCON1,6.475442134,0.24151561125,26.811691801144384,DBDSVR,1,4,1
73,2000,15,202 ABCON2,6.3857717,0.20298808375,31.458850106022545,DBDSVR,1,4,1
74,2000,16,203 ABCON3,6.434110713,0.217343381,29.603435280138573,DBDSVR,1,4,1
75,2000,17,210 random bidiagonal,0.10673021687499999,0.354450822,0.3011143161490538,DBDSDC,8,2,1
76,2000,18,220 GRADP,0.004572523578124998,0.04170430143750001,0.10964153385898558,DBDSDC,64,16,1
77,2000,19,221 GRADM,0.012900064281249997,0.041536284625,0.31057337934085855,DBDSDC,32,16,1
78,2000,20,222 Wilkinson+,0.06704793112499999,0.953023053,0.07035289536170326,DBDSDC,8,1,1
79,2000,21,223 Wilkinson−,0.0602820555,0.13657553575000003,0.4413825299601652,DBDSDC,8,4,1
80,2000,22,224 Wilkinson W,0.06221098825,0.17205667225000001,0.3615726576392622,DBDSDC,8,4,3
81,2000,23,225 double Wilkinson W,0.05499917412500001,0.33430584,0.16451753916413786,DBDSDC,8,2,3
82,2000,24,230 Clement,6.216374733,0.15840902125,39.24255502588682,DBDSVR,1,4,1
83,2000,25,240 GRO0,0.891731202,0.038436687875,23.200001126527866,DBDSVR,1,16,1
84,2000,26,241 GRO1,0.8835949,0.03807786537499999,23.204948368248704,DBDSVR,1,16,1
85,2000,27,242 GRO2,0.861152402,0.03966980625,21.708006249715424,DBDSVR,1,16,1
86,2000,28,243 GRO3,0.906619372,0.039468855312499995,22.970500786549763,DBDSVR,1,16,1
87,2000,29,244 bidiagonal Wilkinson+,0.06443723675,0.905157501,0.07118897725402598,DBDSDC,8,1,1
88,3000,1,110 ones spectrum,0.07295727775,0.13580461875,0.5372223597512953,DBDSDC,8,4,1
89,3000,2,"111 uniform, ε apart",0.817977202,1.025470479,0.7976604092958974,DBDSDC,1,1,1
90,3000,3,"112 uniform, ε¹ᐟ⁴ apart",16.440628205,0.716770823,22.93707790195584,DBDSVR,1,1,1
91,3000,4,113 uniform ε → 1,16.203176438,0.3781438445,42.849240239318505,DBDSVR,1,2,1
92,3000,5,"114 uniform ε → 1, signed",5.12602897,0.827940399,6.191301905537284,DBDSVR,1,1,1
93,3000,6,115 geometric ε → 1,0.791870945,0.4751715975,1.666494691951785,DBDSVR,1,2,1
94,3000,7,"116 geometric ε → 1, signed",0.2452100565,1.113072645,0.2203001372834924,DBDSDC,2,1,1
95,3000,8,117 random spectrum,0.250291683,1.201200137,0.20836801070061814,DBDSDC,2,1,1
96,3000,9,118 clustered at 1,0.19464707650000002,1.167012676,0.16679088454048638,DBDSDC,4,1,1
97,3000,10,119 clustered at ±1,0.09296044825000001,0.46322226450000004,0.20068216787969181,DBDSDC,8,2,1
98,3000,11,120 clustered at ε,0.009128549375000001,0.06536222550000001,0.1396609326743319,DBDSDC,16,8,1
99,3000,12,121 clustered at ±ε,0.04383926625,0.10532910675,0.4162122665110326,DBDSDC,8,8,1
100,3000,13,200 ABCON0,23.542206865,0.50446842,46.667355044741946,DBDSVR,1,1,1
101,3000,14,201 ABCON1,23.749966657,0.470294135,50.500239933887336,DBDSVR,1,2,1
102,3000,15,202 ABCON2,23.55751181,0.533793211,44.13228067451012,DBDSVR,1,1,1
103,3000,16,203 ABCON3,23.443388012,0.46254179949999996,50.68382584523586,DBDSVR,1,2,1
104,3000,17,210 random bidiagonal,0.239333955,0.796241759,0.30057950653150806,DBDSDC,2,1,1
