method,type,n,range,ns,residual,u_orthogonality,vt_orthogonality,orthogonality,time_seconds,info,repetitions,backend_path
DBDSVR,1,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.3326384799999999E-001,0,1,1
DBDSVR,2,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.0302533250000001E+000,0,1,1
DBDSVR,3,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 7.1832860899999995E-001,0,1,1
DBDSVR,4,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 3.7444389700000003E-001,0,1,1
DBDSVR,5,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 8.1911787199999997E-001,0,1,1
DBDSVR,6,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 4.7035523699999998E-001,0,1,1
DBDSVR,7,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.1122362200000000E+000,0,1,1
DBDSVR,8,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.2007982420000001E+000,0,1,1
DBDSVR,9,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.1651104550000000E+000,0,1,1
DBDSVR,10,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 4.6493193999999999E-001,0,1,1
DBDSVR,11,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 6.8739669000000003E-002,0,1,1
DBDSVR,12,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.0341915900000000E-001,0,1,1
DBDSVR,13,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 4.9839383599999998E-001,0,1,1
DBDSVR,14,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 4.6908275700000002E-001,0,1,1
DBDSVR,15,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 5.2926267400000004E-001,0,1,1
DBDSVR,16,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 4.6042487599999998E-001,0,1,1
DBDSVR,17,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 7.9346122299999999E-001,0,1,1
DBDSVR,18,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 9.9611603000000007E-002,0,1,1
DBDSVR,19,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 9.8490588000000004E-002,0,1,1
DBDSVR,20,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 2.3636055620000000E+000,0,1,1
DBDSVR,21,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 3.2849823000000000E-001,0,1,1
DBDSVR,22,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 4.1072575400000000E-001,0,1,3
DBDSVR,23,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 7.9662720300000001E-001,0,1,3
DBDSVR,24,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 3.5294879699999998E-001,0,1,1
DBDSVR,25,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 9.4488697999999996E-002,0,1,1
DBDSVR,26,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 9.0986682999999999E-002,0,1,1
DBDSVR,27,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 9.2586637999999999E-002,0,1,1
DBDSVR,28,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 9.0797597999999993E-002,0,1,1
DBDSVR,29,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 2.0441255880000000E+000,0,1,1
