name,n,res,ortU,ortV,sv_drift,t_eval,t_dbdsqr,ratio,reps_eval,reps_ref,status,note
ev3_ec4_n89_s0,89,1.031,7.398,7.402,1.54e-14,0.0113,8.28e-05,136.47342995169083,-1,-1,FAIL,
ev5_ec4_n27_s3,27,0.279,7.39,7.397,1.99e-15,0.00418,3.21e-05,130.21806853582552,-1,-1,FAIL,
ev5_ec4_n40_s0,40,0.938,7.395,7.377,7.17e-15,0.00503,2.01e-05,250.24875621890544,-1,-1,FAIL,
ev4_ec1_n70_s0_gm,210,0.031,7.362,7.365,1.36e-15,0.0693,0.00115,60.26086956521739,-1,-1,FAIL,
ev3_ec1_n18_s3,18,0.294,7.339,7.365,2.18e-15,0.0037,9.95e-06,371.8592964824121,-1,-1,FAIL,
ev3_ec1_n13_s1_gm,39,0.169,7.34,7.354,1.83e-15,0.00543,4.97e-05,109.25553319919517,-1,-1,FAIL,
ev5_ec4_n29_s1_gs,58,0.123,7.342,7.332,3.08e-15,0.00809,6.61e-05,122.39031770045386,-1,-1,FAIL,
ev3_ec1_n47_s3,47,0.143,7.314,7.313,2.18e-15,0.00649,7.5e-05,86.53333333333335,-1,-1,FAIL,
ev5_ec1_n33_s2_gm,99,0.079,7.31,7.31,2.58e-15,0.0171,0.000226,75.6637168141593,-1,-1,FAIL,
ev3_ec1_n6_s1_gm,18,0.413,7.275,7.285,1.23e-15,0.00341,1.44e-05,236.80555555555554,-1,-1,FAIL,
ev6_ec1_n46_s2_gm,138,0.067,7.278,7.284,5.15e-15,0.0308,0.000518,59.45945945945946,-1,-1,FAIL,
ev6_ec1_n87_s3_gm,261,0.034,7.248,7.254,2.8e-15,0.101,0.00188,53.72340425531915,-1,-1,FAIL,
ev4_ec4_n45_s0_gm,135,0.041,7.246,7.25,9.11e-16,0.0309,0.000506,61.06719367588932,-1,-1,FAIL,
ev4_ec4_n75_s3_gm,225,0.029,7.232,7.234,3.96e-15,0.078,0.00133,58.64661654135338,-1,-1,FAIL,
ev6_ec1_n83_s3_gm,249,0.039,7.221,7.217,5.85e-15,0.0934,0.0017,54.94117647058824,-1,-1,FAIL,
ev4_ec1_n90_s1_gm,270,0.024,7.218,7.217,1.3e-15,0.112,0.0018,62.22222222222223,-1,-1,FAIL,
ev5_ec1_n62_s2_gm,186,0.039,7.214,7.213,2.01e-15,0.0515,0.000504,102.18253968253968,-1,-1,FAIL,
ev5_ec1_n5_s0,5,0.992,7.12,7.183,9.12e-16,0.00306,3.11e-06,983.9228295819936,-1,-1,FAIL,
ev3_ec4_n19_s1_gs,38,0.331,7.171,7.154,3.09e-15,0.00414,1.53e-05,270.5882352941176,-1,-1,FAIL,
ev5_ec1_n24_s3_gm,72,0.097,7.165,7.164,2.43e-15,0.0104,0.000142,73.2394366197183,-1,-1,FAIL,
ev6_ec1_n73_s3_gm,219,0.033,7.156,7.162,3.75e-15,0.0734,0.00132,55.60606060606061,-1,-1,FAIL,
ev6_ec1_n72_s3_gm,216,0.042,7.154,7.154,5.3e-15,0.0718,0.00126,56.98412698412698,-1,-1,FAIL,
ev5_ec4_n88_s1,88,0.073,7.151,7.154,2.14e-15,0.0131,0.000165,79.39393939393939,-1,-1,FAIL,
ev3_ec1_n13_s1,13,0.462,7.126,7.143,1.83e-15,0.00321,6.83e-06,469.9853587115667,-1,-1,FAIL,
ev5_ec1_n95_s2_gm,285,0.025,7.129,7.13,4.58e-15,0.118,0.000948,124.47257383966245,-1,-1,FAIL,
ev5_ec4_n9_s1,9,1.144,7.115,7.049,1.55e-15,0.00323,4.61e-06,700.6507592190889,-1,-1,FAIL,
ev5_ec4_n70_s2_gs,140,0.722,7.093,7.093,1.02e-14,0.0158,8.8e-05,179.54545454545456,-1,-1,FAIL,
ev3_ec1_n41_s0,41,0.166,7.084,7.077,2.64e-15,0.00571,2.96e-05,192.9054054054054,-1,-1,FAIL,
ev5_ec4_n45_s2,45,0.989,7.082,7.08,2.19e-15,0.00543,5.36e-05,101.30597014925372,-1,-1,FAIL,
tri7_n75_gm,225,0.022,7.074,7.076,2.99e-15,0.0781,0.00118,66.1864406779661,-1,-1,FAIL,
ev5_ec1_n3_s1,3,1.699,7.072,7.065,9.26e-16,0.00311,2.25e-06,1382.2222222222222,-1,-1,FAIL,
ev9_ec1_n9_s1_gs,18,0.476,7.029,7.069,1.1e-15,0.00341,1.42e-05,240.14084507042253,-1,-1,FAIL,
ev3_ec4_n15_s3,15,0.488,7.035,7.065,2.48e-15,0.00349,6.42e-06,543.613707165109,-1,-1,FAIL,
ev4_ec4_n99_s2_gm,297,0.023,7.063,7.063,1.43e-15,0.135,0.00218,61.92660550458716,-1,-1,FAIL,
ev5_ec4_n75_s0,75,1.186,7.06,7.06,1.43e-14,0.00908,4.79e-05,189.5615866388309,-1,-1,FAIL,
ev5_ec1_n43_s2,43,0.14,7.058,7.059,1.5e-15,0.00611,2.88e-05,212.1527777777778,-1,-1,FAIL,
