name,n,res,ortU,ortV,sv_drift,t_eval,t_dbdsqr,ratio,reps_eval,reps_ref,status,note
T_matlab_ud_2250,2250,0.017,0.855,0.856,7.85e-15,10.02,0.1044,95.97701149425286,1,3,PASS,
T_nasa1824,1824,0.024,3.06,3.059,4.08e-15,5.731,0.04985,114.96489468405215,1,4,PASS,
T_nasa1824_1,1824,0.009,1.14,1.14,7.91e-15,3.94,0.05446,72.34667645978699,1,4,PASS,
T_nasa1824_3,5472,0.006,6.996,6.996,9.07e-15,31.61,0.4497,70.29130531465421,1,3,FAIL,
T_nasa2146,2146,0.01,1.77,1.769,3.04e-15,8.393,0.07574,110.81330868761553,1,3,PASS,
T_nasa2910,2910,0.004,3.469,3.469,2.99e-15,14.67,0.1279,114.69898358092259,1,3,PASS,
T_nasa4704_1,4704,0.005,3.3,3.301,1.61e-14,22.54,0.3241,69.54643628509719,1,3,PASS,
T_nos6,675,0.505,0.728,0.728,3.1e-14,0.6068,0.006569,92.37326838179327,1,29,PASS,
T_nos7,729,0.011,0.945,0.943,3.93e-15,0.7522,0.009004,83.54064860062195,1,21,PASS,
T_plat1919,1919,0.007,13.822,13.823,9.61e-15,6.174,0.07547,81.80734066516497,1,3,FAIL,
T_sts4098_1,4098,0.004,3.317,3.317,1.29e-14,17.66,0.262,67.40458015267176,1,3,PASS,
T_zenios,2873,0.003,0.036,0.036,2.45e-15,1.498,0.0009095,1647.0588235294117,1,30,PASS,
Z_297,297,0.356,0.297,0.295,inf,0.04727,inf,nan,5,0,PASS,
Z_297_flipped,297,0.356,0.273,0.277,inf,0.04613,inf,nan,5,0,PASS,
sinc41,41,0.213,1.077,1.068,2.45e-15,0.005093,2.044e-05,249.16829745596868,30,30,PASS,
