name,n,res,ortU,ortV,sv_drift,t_eval,t_dbdsqr,ratio,reps_eval,reps_ref,status,note
paper:stcoll_evdist_type9@400,400,0.024,0.67,0.676,9.33e-15,0.1153,0.003916,29.443309499489274,3,30,PASS,
paper:skew_wilk21_g1,21,0.434,1.599,1.571,1.87e-15,0.00432,1.871e-05,230.89257081774454,30,30,PASS,
paper:skew_wilk21_g1e3,21,0.343,0.269,0.287,1.59e-15,0.004353,3.049e-05,142.76812069530993,30,30,PASS,
paper:skew_wilk21_g1e6,21,0.344,0.381,0.4,1.61e-15,0.004169,3.007e-05,138.64316594612572,30,30,PASS,
paper:wilk21_gamma_1e4,21,0.483,0.202,0.198,1.46e-13,0.004171,1.354e-05,308.0502215657312,30,30,PASS,
paper:wilk21_gamma_1e8,21,0.483,0.048,0.048,1.6e-13,0.00424,9.378e-06,452.1219876306248,30,30,PASS,
paper:wilk21_gamma_1e14,21,0.684,0.0,0.0,9.87e-15,0.00366,3.157e-06,1159.328476401647,30,30,PASS,
paper:willems_block_ldl_edge@10,8,1.077,0.25,0.125,2.87e+31,0.003389,2.28e-06,1486.4035087719296,30,30,PASS,
paper:willems_block_ldl_edge@100,100,0.086,0.02,0.01,1.0,0.005138,1.13e-05,454.69026548672565,30,30,PASS,
paper:willems_block_ldl_edge@200,200,0.043,0.01,0.005,1.0,0.009561,2.042e-05,468.2174338883447,21,30,PASS,
paper:willems_block_ldl_edge@400,400,0.022,0.005,0.003,1.0,0.02857,3.942e-05,724.7590055809235,7,30,PASS,
