name,n,res,ortU,ortV,sv_drift,t_eval,t_dbdsqr,ratio,reps_eval,reps_ref,status,note
stcoll:B_05_2,5,0.1,0.4,0.4,4.02e-16,2.616e-06,1.92e-06,1.3625,30,30,PASS,
stcoll:B_05_d3eq0,5,0.2,0.4,0.4,1.22e-16,3.928e-06,1.571e-06,2.5003182686187144,30,30,PASS,
stcoll:B_05_d5eq0,5,0.2,0.4,0.4,0.0,5.709e-06,3.498e-06,1.6320754716981132,30,30,PASS,
stcoll:B_05_eye,5,0.0,0.4,0.4,0.0,3.013e-06,4.65e-07,6.479569892473119,30,30,PASS,
stcoll:B_11_splits_a,11,0.2,0.2,0.3,2.62e-16,8.365e-06,3.328e-06,2.5135216346153846,30,30,PASS,
stcoll:B_11_splits_b,11,0.2,0.4,0.3,4.15e-16,9.665e-06,3.34e-06,2.893712574850299,30,30,PASS,
stcoll:B_12_splits_a,12,0.1,0.3,0.3,4.44e-16,1.036e-05,5.716e-06,1.812456263121064,30,30,PASS,
stcoll:B_16,16,0.1,0.1,0.1,1.0,7.301e-06,6.266e-06,1.1651771465049474,30,30,PASS,
stcoll:B_16_smallsv,16,0.1,0.3,0.3,0.0,1.581e-05,5.148e-06,3.071095571095571,30,30,PASS,
stcoll:B_20_graded,20,0.2,0.4,0.3,0.0,0.000109,1.869e-05,5.831995719636169,30,30,PASS,
stcoll:B_40_graded,40,0.1,0.5,0.6,0.0,0.0004602,5.449e-05,8.445586346118555,30,30,PASS,
stcoll:B_Kimura_429,429,11.7,1017.3,1017.1,0.0,0.05573,0.003348,16.645758661887694,4,30,FAIL,
stcoll:B_bug316_gesdd,26,0.0,0.1,0.1,1.0,9.884e-06,4.614e-06,2.142175986129172,30,30,PASS,
stcoll:B_bug414,4,0.1,0.4,0.2,1.0,2.571e-06,1.84e-06,1.3972826086956522,30,30,PASS,
stcoll:B_gg_30_1D-5,330,0.0,2.9,2.9,0.0,0.02837,0.00129,21.992248062015506,8,30,PASS,
stcoll:B_glued_09b,9,0.2,2.3,0.5,0.0,2.541e-05,5.921e-06,4.291504813376119,30,30,PASS,
stcoll:B_glued_09c,9,0.1,0.2,0.3,0.0,2.499e-05,5.82e-06,4.293814432989691,30,30,PASS,
stcoll:B_glued_09d,9,0.1,2.5,0.6,0.0,2.713e-05,5.691e-06,4.767176243191003,30,30,PASS,
