method,type,n,range,ns,residual,u_orthogonality,vt_orthogonality,orthogonality,time_seconds,info,repetitions
DBDSDC,1,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 2.3569985937500003E-002,0,16
DBDSDC,2,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 2.4037155399999999E-001,0,2
DBDSDC,3,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 5.0816959759999998E+000,0,1
DBDSDC,4,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 5.0065033630000002E+000,0,1
DBDSDC,5,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.7385271110000000E+000,0,1
DBDSDC,6,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 2.8622149399999997E-001,0,2
DBDSDC,7,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 9.8634252749999998E-002,0,8
DBDSDC,8,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.2269741325000000E-001,0,4
DBDSDC,9,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 9.6839338624999993E-002,0,8
DBDSDC,10,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 5.2906035125000000E-002,0,8
DBDSDC,11,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 4.2327045000000001E-003,0,64
DBDSDC,12,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.4996431468750000E-002,0,32
DBDSDC,13,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 6.5723119820000004E+000,0,1
DBDSDC,14,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 6.4754421339999997E+000,0,1
DBDSDC,15,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 6.3857717000000003E+000,0,1
DBDSDC,16,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 6.4341107129999999E+000,0,1
DBDSDC,17,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.0673021687499999E-001,0,8
DBDSDC,18,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 4.5725235781249977E-003,0,64
DBDSDC,19,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.2900064281249997E-002,0,32
DBDSDC,20,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 6.7047931124999988E-002,0,8
DBDSDC,21,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 6.0282055500000001E-002,0,8
DBDSDC,22,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 6.2210988250000002E-002,0,8
DBDSDC,23,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 5.4999174125000008E-002,0,8
DBDSDC,24,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 6.2163747330000003E+000,0,1
DBDSDC,25,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 8.9173120200000000E-001,0,1
DBDSDC,26,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 8.8359489999999996E-001,0,1
DBDSDC,27,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 8.6115240199999998E-001,0,1
DBDSDC,28,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 9.0661937199999998E-001,0,1
DBDSDC,29,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 6.4437236750000002E-002,0,8
