method,type,n,range,ns,residual,u_orthogonality,vt_orthogonality,orthogonality,time_seconds,info,repetitions
DBDSVR,1,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.3027862390624997E-002,0,64
DBDSVR,2,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.0776030912500000E-001,0,8
DBDSVR,3,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 8.0283853875000005E-002,0,8
DBDSVR,4,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 4.2467425624999999E-002,0,16
DBDSVR,5,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 8.3545173500000000E-002,0,8
DBDSVR,6,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 8.2361970750000013E-002,0,8
DBDSVR,7,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.2059968700000000E-001,0,8
DBDSVR,8,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.2015741675000000E-001,0,8
DBDSVR,9,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.2581550675000000E-001,0,4
DBDSVR,10,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 5.2469150375000009E-002,0,16
DBDSVR,11,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 6.1396212499999995E-003,0,64
DBDSVR,12,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 7.4821280156249989E-003,0,64
DBDSVR,13,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 4.9309227687499999E-002,0,16
DBDSVR,14,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 5.2528216062499994E-002,0,16
DBDSVR,15,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 5.2282049312499995E-002,0,16
DBDSVR,16,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 5.2444354624999995E-002,0,16
DBDSVR,17,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 8.3923829000000005E-002,0,8
DBDSVR,18,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 8.5740732656249992E-003,0,64
DBDSVR,19,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 8.6089446093749987E-003,0,64
DBDSVR,20,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 2.3201356400000001E-001,0,4
DBDSVR,21,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 3.3362667875000002E-002,0,16
DBDSVR,22,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 3.5956873812499998E-002,0,16
DBDSVR,23,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 7.3068816499999995E-002,0,8
DBDSVR,24,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 3.9319972000000002E-002,0,16
DBDSVR,25,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 7.8200231250000005E-003,0,64
DBDSVR,26,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 7.8591283125000015E-003,0,64
DBDSVR,27,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 8.0959891406249991E-003,0,64
DBDSVR,28,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 8.1649308437499995E-003,0,64
DBDSVR,29,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 2.1680204325000002E-001,0,4
