method,type,n,range,ns,residual,u_orthogonality,vt_orthogonality,orthogonality,time_seconds,info,repetitions
DBDSVR,1,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.3580461874999999E-001,0,4
DBDSVR,2,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.0254704790000000E+000,0,1
DBDSVR,3,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 7.1677082299999995E-001,0,1
DBDSVR,4,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 3.7814384449999999E-001,0,2
DBDSVR,5,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 8.2794039900000005E-001,0,1
DBDSVR,6,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 4.7517159749999999E-001,0,2
DBDSVR,7,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.1130726449999999E+000,0,1
DBDSVR,8,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.2012001370000001E+000,0,1
DBDSVR,9,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.1670126759999999E+000,0,1
DBDSVR,10,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 4.6322226450000004E-001,0,2
DBDSVR,11,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 6.5362225500000010E-002,0,8
DBDSVR,12,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.0532910675000000E-001,0,8
DBDSVR,13,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 5.0446842000000003E-001,0,1
DBDSVR,14,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 4.7029413500000000E-001,0,2
DBDSVR,15,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 5.3379321099999999E-001,0,1
DBDSVR,16,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 4.6254179949999996E-001,0,2
DBDSVR,17,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 7.9624175900000005E-001,0,1
DBDSVR,18,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 9.7176073750000008E-002,0,8
DBDSVR,19,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 9.6653150875000010E-002,0,8
DBDSVR,20,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 2.1945768889999999E+000,0,1
DBDSVR,21,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 3.2777275200000000E-001,0,2
DBDSVR,22,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 4.2545973400000003E-001,0,2
DBDSVR,23,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 8.1438278900000005E-001,0,1
DBDSVR,24,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 3.5049905599999998E-001,0,2
DBDSVR,25,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 9.2568069249999996E-002,0,8
DBDSVR,26,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 9.3856517874999990E-002,0,8
DBDSVR,27,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 9.4199747875000003E-002,0,8
DBDSVR,28,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 9.4327057625000016E-002,0,8
DBDSVR,29,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 2.0334655110000002E+000,0,1
