method,type,n,range,ns,residual,u_orthogonality,vt_orthogonality,orthogonality,time_seconds,info,repetitions
DBDSDC,1,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 7.2957277749999994E-002,0,8
DBDSDC,2,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 8.1797720200000001E-001,0,1
DBDSDC,3,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.6440628204999999E+001,0,1
DBDSDC,4,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.6203176438000000E+001,0,1
DBDSDC,5,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 5.1260289700000001E+000,0,1
DBDSDC,6,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 7.9187094499999999E-001,0,1
DBDSDC,7,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 2.4521005650000000E-001,0,2
DBDSDC,8,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 2.5029168299999999E-001,0,2
DBDSDC,9,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.9464707650000002E-001,0,4
DBDSDC,10,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 9.2960448250000008E-002,0,8
DBDSDC,11,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 9.1285493750000012E-003,0,16
DBDSDC,12,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 4.3839266250000002E-002,0,8
DBDSDC,13,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 2.3542206865000001E+001,0,1
DBDSDC,14,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 2.3749966657000002E+001,0,1
DBDSDC,15,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 2.3557511810000001E+001,0,1
DBDSDC,16,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 2.3443388012000000E+001,0,1
DBDSDC,17,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 2.3933395499999999E-001,0,2
DBDSDC,18,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.0093798187499999E-002,0,16
DBDSDC,19,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 3.3620823687499996E-002,0,16
DBDSDC,20,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.6004811400000002E-001,0,4
DBDSDC,21,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.5190071224999999E-001,0,4
DBDSDC,22,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.6142396649999999E-001,0,4
DBDSDC,23,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.3429256049999999E-001,0,4
DBDSDC,24,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 2.2789268604000000E+001,0,1
DBDSDC,25,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 3.0014844539999999E+000,0,1
DBDSDC,26,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 2.9463867079999999E+000,0,1
DBDSDC,27,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 2.9987085809999998E+000,0,1
DBDSDC,28,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 2.9478262090000000E+000,0,1
DBDSDC,29,3000,A,3000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.5664128899999999E-001,0,4
