method,type,n,range,ns,residual,u_orthogonality,vt_orthogonality,orthogonality,time_seconds,info,repetitions
DBDSVR,1,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 5.4483645812499995E-002,0,16
DBDSVR,2,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 4.4429973449999999E-001,0,2
DBDSVR,3,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 3.1049700800000002E-001,0,2
DBDSVR,4,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.7783961999999998E-001,0,4
DBDSVR,5,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 3.9542894099999998E-001,0,2
DBDSVR,6,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.2945295174999999E-001,0,4
DBDSVR,7,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 5.0374176599999998E-001,0,1
DBDSVR,8,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 5.2144727999999996E-001,0,1
DBDSVR,9,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 5.1700997500000001E-001,0,1
DBDSVR,10,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 2.4040916600000001E-001,0,4
DBDSVR,11,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 2.7916406000000001E-002,0,32
DBDSVR,12,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 4.3471240062500013E-002,0,16
DBDSVR,13,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 2.2306506174999999E-001,0,4
DBDSVR,14,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 2.4151561125000001E-001,0,4
DBDSVR,15,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 2.0298808374999999E-001,0,4
DBDSVR,16,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 2.1734338100000000E-001,0,4
DBDSVR,17,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 3.5445082200000000E-001,0,2
DBDSVR,18,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 4.1704301437500008E-002,0,16
DBDSVR,19,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 4.1536284625000003E-002,0,16
DBDSVR,20,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 9.5302305300000001E-001,0,1
DBDSVR,21,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.3657553575000003E-001,0,4
DBDSVR,22,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.7205667225000001E-001,0,4
DBDSVR,23,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 3.3430584000000002E-001,0,2
DBDSVR,24,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.5840902125000000E-001,0,4
DBDSVR,25,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 3.8436687875000000E-002,0,16
DBDSVR,26,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 3.8077865374999992E-002,0,16
DBDSVR,27,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 3.9669806250000002E-002,0,16
DBDSVR,28,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 3.9468855312499995E-002,0,16
DBDSVR,29,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 9.0515750100000003E-001,0,1
