method,type,n,range,ns,residual,u_orthogonality,vt_orthogonality,orthogonality,time_seconds,info,repetitions
DBDSDC,1,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 3.6906504374999995E-003,0,64
DBDSDC,2,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 2.3896661343749993E-002,0,32
DBDSDC,3,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 4.2212524949999997E-001,0,2
DBDSDC,4,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 4.1537937349999998E-001,0,2
DBDSDC,5,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 2.1479071900000002E-001,0,4
DBDSDC,6,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 3.3069256187500000E-002,0,16
DBDSDC,7,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.7298338531249999E-002,0,32
DBDSDC,8,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 2.7364755875000001E-002,0,32
DBDSDC,9,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 2.1366490218750003E-002,0,32
DBDSDC,10,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 6.1675602656249993E-003,0,64
DBDSDC,11,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.0688129843749998E-003,0,64
DBDSDC,12,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 2.4222142187500001E-003,0,64
DBDSDC,13,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 5.2129163400000000E-001,0,1
DBDSDC,14,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 5.4110498699999998E-001,0,1
DBDSDC,15,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 5.2317723199999999E-001,0,1
DBDSDC,16,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 5.2669699000000003E-001,0,1
DBDSDC,17,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 2.4518460937500007E-002,0,32
DBDSDC,18,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.2643282812500004E-003,0,64
DBDSDC,19,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 2.4961576250000003E-003,0,64
DBDSDC,20,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.3412642843750005E-002,0,32
DBDSDC,21,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.2129284562499999E-002,0,64
DBDSDC,22,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.2170262359374996E-002,0,64
DBDSDC,23,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.0255675468750003E-002,0,64
DBDSDC,24,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 5.2471679500000001E-001,0,1
DBDSDC,25,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 7.8472307874999994E-002,0,8
DBDSDC,26,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 7.8345471124999996E-002,0,8
DBDSDC,27,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 7.8241129874999996E-002,0,8
DBDSDC,28,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 7.7781960250000004E-002,0,8
DBDSDC,29,1000,A,1000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.2742170484375002E-002,0,64
